DATE,DEXBZUS
2000-07-21,1.8001000000000000
2000-07-28,1.7901000000000000
2000-08-04,1.7898000000000000
2000-08-11,1.7973000000000000
2000-08-18,1.8086000000000000
2000-08-25,1.8204000000000000
2000-09-01,1.8258200000000000
2000-09-08,1.8232250000000000
2000-09-15,1.8316400000000000
2000-09-22,1.8565000000000000
2000-09-29,1.8473800000000000
2000-10-06,1.8508000000000000
2000-10-13,1.8635000000000000
2000-10-20,1.8755000000000000
2000-10-27,1.9192000000000000
2000-11-03,1.9183000000000000
2000-11-10,1.9529000000000000
2000-11-17,1.9537000000000000
2000-11-24,1.9357500000000000
2000-12-01,1.9707400000000000
2000-12-08,1.9708000000000000
2000-12-15,1.9650000000000000
2000-12-22,1.9554000000000000
2000-12-29,1.9567500000000000
2001-01-05,1.9437500000000000
2001-01-12,1.9468000000000000
2001-01-19,1.9552500000000000
2001-01-26,1.9660000000000000
2001-02-02,1.9790000000000000
2001-02-09,1.9954000000000000
2001-02-16,1.9862000000000000
2001-02-23,2.0297500000000000
2001-03-02,2.0371000000000000
2001-03-09,2.0388000000000000
2001-03-16,2.0867000000000000
2001-03-23,2.1392000000000000
2001-03-30,2.1406000000000000
2001-04-06,2.1630000000000000
2001-04-13,2.1574400000000000
2001-04-20,2.1938000000000000
2001-04-27,2.2604000000000000
2001-05-04,2.2154000000000000
2001-05-11,2.2515000000000000
2001-05-18,2.3141000000000000
2001-05-25,2.3338000000000000
2001-06-01,2.3591250000000000
2001-06-08,2.3791000000000000
2001-06-15,2.4002000000000000
2001-06-22,2.4246000000000000
2001-06-29,2.3100000000000000
2001-07-06,2.3965000000000000
2001-07-13,2.5274000000000000
2001-07-20,2.5078000000000000
2001-07-27,2.4602000000000000
2001-08-03,2.4712000000000000
2001-08-10,2.4672000000000000
2001-08-17,2.5046000000000000
2001-08-24,2.5347000000000000
2001-08-31,2.5530000000000000
2001-09-07,2.5740000000000000
2001-09-14,2.6787500000000000
2001-09-21,2.7152000000000000
2001-09-28,2.7186000000000000
2001-10-05,2.7198000000000000
2001-10-12,2.7790000000000000
2001-10-19,2.7533400000000000
2001-10-26,2.7318000000000000
2001-11-02,2.7034000000000000
2001-11-09,2.5742000000000000
2001-11-16,2.5330000000000000
2001-11-23,2.5285000000000000
2001-11-30,2.4970000000000000
2001-12-07,2.4281600000000000
2001-12-14,2.3670000000000000
2001-12-21,2.3328000000000000
2001-12-28,2.3297500000000000
2002-01-04,2.3072500000000000
2002-01-11,2.3789000000000000
2002-01-18,2.3740000000000000
2002-01-25,2.3960000000000000
2002-02-01,2.4253000000000000
2002-02-08,2.4398200000000000
2002-02-15,2.4397000000000000
2002-02-22,2.4251250000000000
2002-03-01,2.3797000000000000
2002-03-08,2.3488000000000000
2002-03-15,2.3473000000000000
2002-03-22,2.3456000000000000
2002-03-29,2.3372000000000000
2002-04-05,2.3074000000000000
2002-04-12,2.2851000000000000
2002-04-19,2.3231000000000000
2002-04-26,2.3588000000000000
2002-05-03,2.3770000000000000
2002-05-10,2.4426000000000000
2002-05-17,2.4960000000000000
2002-05-24,2.5051000000000000
2002-05-31,2.5197500000000000
2002-06-07,2.6064000000000000
2002-06-14,2.6830000000000000
2002-06-21,2.7280000000000000
