DATE,DEXVZUS
2020-04-17,125660.1515
2020-04-20,125260.0977
2020-04-21,127724.1699
2020-04-22,128770.3357
2020-04-23,144594.7971
2020-04-24,171146.5702
2020-04-27,170645.1679
2020-04-28,169916.8216
2020-04-29,175220.693
2020-04-30,176121.6642
2020-05-01,176096.6952
2020-05-04,176096.6875
2020-05-05,174975.5464
2020-05-06,171444.86
2020-05-07,168940.4777
2020-05-08,172520.4436
2020-05-11,178571.7115
2020-05-12,178656.8139
2020-05-13,178086.1101
2020-05-14,178593.7405
2020-05-15,181221.6869
2020-05-18,182590.6781
2020-05-19,182879.2572
2020-05-20,182377.139
2020-05-21,183074.9995
2020-05-22,187659.5826
2020-05-25,.
2020-05-26,192921.0781
2020-05-27,192980.6632
2020-05-28,195559.6322
2020-05-29,196721.9173
2020-06-01,197615.3142
2020-06-02,197300.2553
2020-06-03,196696.067
2020-06-04,197021.2226
2020-06-05,198155.0757
2020-06-08,198533.356
2020-06-09,197689.64
2020-06-10,197398.9725
2020-06-11,200663.3867
2020-06-12,201959.3869
2020-06-15,202749.3655
2020-06-16,202996.4437
2020-06-17,203130.5445
2020-06-18,202949.2141
2020-06-19,202375.9857
2020-06-22,202375.9844
2020-06-23,201234.2267
2020-06-24,201456.4952
2020-06-25,201456.5
2020-06-26,201651.6245
2020-06-29,201825.6813
2020-06-30,203130.5469
2020-07-01,203906.6474
2020-07-02,204515.604
2020-07-03,.
2020-07-06,206453.1339
2020-07-07,207202.9426
2020-07-08,207202.9375
2020-07-09,211145.8212
2020-07-10,213471.4924
2020-07-13,215452.7396
2020-07-14,216364.1624
2020-07-15,219249.9511
2020-07-16,220431.3682
2020-07-17,223264.2628
2020-07-20,226093.5998
2020-07-21,228287.986
2020-07-22,231170.3275
2020-07-23,236617.1598
2020-07-24,241365.8539
2020-07-27,241365.8594
2020-07-28,244443.3962
2020-07-29,248956.5313
2020-07-30,249057.3434
2020-07-31,257718.9
2020-08-03,258448.3499
2020-08-04,261904.8407
2020-08-05,262412.4946
2020-08-06,264933.9113
2020-08-07,270354.6373
2020-08-10,277343.5511
2020-08-11,283889.7653
2020-08-12,283414.9995
2020-08-13,283293.0079
2020-08-14,286649.3155
2020-08-17,293920.7455
2020-08-18,289550.7506
2020-08-19,291796.8124
2020-08-20,296027.271
2020-08-21,302779.1537
2020-08-24,304688.8268
2020-08-25,305491.6117
2020-08-26,307221.1635
2020-08-27,312059.6588
2020-08-28,315798.5728
2020-08-31,323800.1664
2020-09-01,326929.5181
